AB108637	508	724
AB108639	508	724
AB108641	508	724
AB108839	129	304
AB108983	1	258
AB108984	1	264
AB108985	1	264
AB108986	1	264
AB108987	1	264
AB108988	1	264
AB108989	1	264
AB108990	1	264
AB108991	1	268
AB108992	1	268
AB108993	1	268
AB108994	1	268
AB108995	1	264
AB108996	1	268
AB108997	1	264
AB108998	1	258
AB108999	1	268
AB109294	42	304
AB109295	42	304
AB109296	42	304
AB109297	42	304
AB109298	42	304
AB109299	149	304
AB109300	149	304
AB109301	130	304
AB111951	1	945
AB112551	547	724
AB120176	25	730
AB120177	25	945
AB120717	130	724
AB121234	510	724
AB121235	510	724
AB121236	510	724
AB121237	513	642
AB121238	510	724
AB121239	514	724
AB121240	510	724
AB121241	510	724
AB121242	510	724
AB121243	510	724
AB121244	511	724
AB121245	510	724
AB121246	510	724
AB121247	510	724
AB121248	510	644
AB121249	510	645
AB121250	510	724
AB121978	507	645
AB121980	507	724
AB121982	401	645
AB121984	401	724
AB121986	507	645
AB121988	373	645
AB121990	373	724
AB121992	373	645
AB121994	373	645
AB121996	373	645
AB121998	373	645
AB122000	373	645
AB124801	149	724
AB125234	513	724
AB125235	513	724
AB125236	510	724
AB125237	510	724
AB125238	513	724
AB125239	486	724
AB125240	513	724
AB125241	513	724
AB125242	513	724
AB125243	510	724
AB125244	510	724
AB125747	506	724
AB126082	40	945
AB126083	40	945
AB126870	506	724
AB126871	494	724
AB127393	1	945
AB127394	40	850
AB128866	149	304
AB128867	149	304
AB128868	149	304
AB128869	149	304
AB128870	149	304
AB128871	149	304
AB128932	129	302
AB128933	129	302
AB128934	129	302
AB167815	102	304
AB176804	495	724
AB176805	495	724
AB176806	495	724
AB176807	495	724
AB176808	495	724
AB176809	495	724
AB176810	495	724
AB176811	495	724
AB182300	507	789
AB182301	507	789
AB182302	507	789
AB182303	507	789
AB182304	507	789
AB182305	507	789
AB182306	507	789
AB182307	507	789
AB182308	507	789
AB182653	129	324
AB185022	130	724
AB188175	398	724
AB188176	102	724
AB188177	42	724
AB188178	398	724
AB188179	398	724
AB188180	149	724
AB188181	149	724
AB188182	149	724
AB188183	149	724
AB188184	102	724
AB188185	102	724
AB188186	102	724
AB188187	102	724
AB188188	149	724
AB188189	149	724
AB188190	149	724
AB188191	149	724
AB188192	149	724
AB188193	724	130
AB188194	486	724
AB188195	42	724
AB188689	507	724
AB188690	495	645
AB188691	507	724
AB188692	495	724
AB188693	495	724
AB188694	507	724
